longitude,latitude,basin,region,district_code,public_meeting,permit,extraction_type,management,payment,water_quality,quantity,source,waterpoint_type,pop_log,age,status_group
40.23,-10.32,Ruvuma / Southern Coast,Mtwara,D5,True,False,nira/tanira,vwc,never pay,salty,insufficient,shallow well,hand pump,4.867534450455582,25,non functional
30.07,-4.66,Lake Tanganyika,Kigoma,D2,True,True,gravity,water board,pay monthly,soft,enough,river,communal standpipe,6.620073206530356,8,functional
33.12,-8.72,Lake Rukwa,Mbeya,D2,True,False,gravity,wug,never pay,soft,seasonal,rainwater harvesting,communal standpipe,5.913279930309456,11,functional
38.94,-10.68,Ruvuma / Southern Coast,Mtwara,D33,True,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe multiple,5.703782474656201,29,non functional
36.69,-3.31,Pangani,Arusha,D2,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.298317366548036,23,functional
34.59,-9.78,Lake Nyasa,Iringa,D5,True,False,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,4.248495242049359,10,functional
32.55,-2.73,Lake Victoria,Mwanza,D1,False,False,other,wug,never pay,soft,enough,other,other,6.194405391104672,17,non functional
33.79,-3.33,Internal,Shinyanga,D2,True,False,nira/tanira,wug,other,soft,enough,shallow well,hand pump,6.214608098422191,7,functional
31.13,-1.41,Lake Victoria,Kagera,D1,True,True,gravity,other,never pay,soft,seasonal,rainwater harvesting,communal standpipe,5.778840172736036,7,functional
30.67,-2.53,Lake Victoria,Kagera,D30,True,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,6.020025972800595,5,functional needs repair
39.0,-6.54,Wami / Ruvu,Pwani,D1,True,True,ksb,private operator,never pay,soft,enough,river,communal standpipe,4.0943445622221,0,functional
39.07,-10.34,Ruvuma / Southern Coast,Lindi,D53,True,True,other,vwc,never pay,salty,dry,shallow well,other,5.8289456176102075,20,non functional
34.06,-6.01,Internal,Singida,D3,True,False,afridev,vwc,pay per bucket,soft,insufficient,shallow well,hand pump,6.1092475827643655,20,functional
35.34,-10.59,Ruvuma / Southern Coast,Ruvuma,D2,True,True,other,vwc,pay when scheme fails,soft,dry,shallow well,other,5.703782474656201,9,non functional
33.64,-3.31,Internal,Shinyanga,D2,True,False,nira/tanira,wug,other,soft,dry,shallow well,hand pump,6.214608098422191,7,non functional
32.96,-9.06,Lake Rukwa,Mbeya,D6,True,True,gravity,vwc,pay when scheme fails,soft,insufficient,river,communal standpipe,5.972692541927154,17,functional
31.11,-4.99,Lake Tanganyika,Kigoma,D3,True,True,nira/tanira,vwc,unknown,soft,insufficient,shallow well,hand pump,5.501258210544727,1,non functional
36.79,-8.86,Rufiji,Morogoro,D4,True,True,swn 80,wua,unknown,soft,seasonal,shallow well,hand pump,6.684611727667927,34,functional
35.07,-5.86,Internal,Singida,D3,True,True,submersible,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,6.699500340161678,10,functional
33.08,-2.41,Lake Victoria,Mwanza,D2,True,True,afridev,vwc,never pay,soft,enough,machine dbh,hand pump,6.194405391104672,15,functional
33.05,-2.56,Lake Victoria,Mwanza,D2,True,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,6.194405391104672,15,functional
37.7,-3.6,Pangani,Kilimanjaro,D2,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,4.867534450455582,2,functional needs repair
37.56,-3.53,Pangani,Kilimanjaro,D2,True,True,submersible,wua,pay monthly,soft,insufficient,machine dbh,communal standpipe,3.912023005428146,3,functional
34.96,-8.6,Rufiji,Iringa,D2,True,True,gravity,vwc,pay annually,soft,enough,spring,communal standpipe,4.248495242049359,10,functional
34.07,-1.64,Lake Victoria,Mara,D3,True,True,afridev,vwc,pay monthly,soft,enough,hand dtw,hand pump,5.857933154483459,3,functional
35.58,-2.25,Internal,Arusha,D5,True,False,gravity,parastatal,never pay,soft,seasonal,rainwater harvesting,communal standpipe,5.187385805840755,2,functional
35.19,-4.59,Internal,Manyara,D2,True,True,submersible,vwc,pay per bucket,salty,dry,rainwater harvesting,communal standpipe,5.641907070938114,6,non functional
39.21,-6.92,Wami / Ruvu,Dar es Salaam,D2,True,False,submersible,wug,pay per bucket,soft,enough,machine dbh,communal standpipe,5.0106352940962555,13,functional
34.13,-1.29,Lake Victoria,Mara,D6,False,False,india mark ii,private operator,pay per bucket,soft,enough,shallow well,hand pump,7.3777589082278725,12,functional
38.11,-5.49,Pangani,Tanga,D6,True,True,submersible,vwc,pay per bucket,soft,enough,river,communal standpipe,4.31748811353631,34,functional
31.4,-1.31,Lake Victoria,Kagera,D7,True,True,india mark ii,vwc,never pay,soft,insufficient,machine dbh,hand pump,5.594862331542801,8,non functional
38.16,-5.65,Pangani,Tanga,D6,False,True,submersible,vwc,pay per bucket,soft,enough,river,communal standpipe multiple,7.696212639346407,13,functional
32.93,-2.71,Lake Victoria,Mwanza,D7,True,True,other,vwc,never pay,milky,insufficient,shallow well,other,6.194405391104672,15,non functional
36.88,-3.32,Pangani,Arusha,D7,True,True,gravity,wua,unknown,fluoride,insufficient,spring,communal standpipe,5.908082938168931,6,functional
30.82,-3.04,Lake Tanganyika,Kigoma,D1,True,False,gravity,vwc,unknown,soft,insufficient,spring,communal standpipe,5.438079308923196,20,functional
38.35,-6.64,Wami / Ruvu,Pwani,D1,False,True,ksb,private operator,pay per bucket,soft,enough,river,communal standpipe,3.912023005428146,1,functional
33.29,-2.99,Lake Victoria,Mwanza,D4,True,True,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,6.194405391104672,15,functional
34.61,-9.17,Rufiji,Iringa,D4,True,True,gravity,wua,pay monthly,soft,enough,river,communal standpipe,4.02535169073515,18,functional
31.73,-8.47,Lake Rukwa,Rukwa,D2,True,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,5.298317366548036,21,non functional
32.26,-3.48,Lake Tanganyika,Shinyanga,D5,True,True,nira/tanira,wug,unknown,soft,dry,shallow well,hand pump,6.214608098422191,6,non functional
38.85,-10.39,Ruvuma / Southern Coast,Lindi,D3,True,True,submersible,vwc,pay per bucket,salty,insufficient,machine dbh,communal standpipe multiple,5.717027701406222,6,functional
33.88,-9.26,Lake Nyasa,Mbeya,D4,True,True,gravity,parastatal,unknown,soft,enough,spring,communal standpipe,5.4957391006863725,5,functional
34.55,-9.33,Lake Nyasa,Iringa,D4,True,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2.995732273553991,11,non functional
36.65,-3.31,Pangani,Arusha,D2,True,True,gravity,vwc,never pay,soft,insufficient,spring,other,5.0106352940962555,23,non functional
33.69,-3.62,Internal,Shinyanga,D8,False,False,other,wug,unknown,salty,insufficient,shallow well,other,6.214608098422191,6,non functional
37.12,-3.19,Pangani,Kilimanjaro,D7,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,4.382026634673881,14,functional
35.7,-7.5,Rufiji,Iringa,D1,False,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,6.309918278226516,37,non functional
36.64,-3.34,Pangani,Arusha,D2,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.298317366548036,3,functional
31.43,-1.18,Lake Victoria,Kagera,D7,True,True,nira/tanira,vwc,never pay,salty,insufficient,shallow well,hand pump,5.594862331542801,8,functional needs repair
35.45,-3.18,Internal,Arusha,D5,True,True,ksb,vwc,never pay,soft,enough,river,communal standpipe multiple,5.0106352940962555,5,functional
36.48,-3.4,Internal,Arusha,D1,True,True,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,5.225746673713202,3,functional
39.13,-6.89,Wami / Ruvu,Dar es Salaam,D2,True,False,submersible,wug,pay per bucket,salty abandoned,insufficient,machine dbh,communal standpipe,5.298317366548036,13,non functional
29.9,-4.55,Lake Tanganyika,Kigoma,D2,True,True,gravity,water board,pay monthly,soft,enough,river,communal standpipe,5.521460917862246,14,functional
34.33,-3.53,Internal,Shinyanga,D6,True,True,gravity,parastatal,never pay,soft,seasonal,rainwater harvesting,communal standpipe,6.214608098422191,6,non functional
31.85,-3.29,Lake Tanganyika,Shinyanga,D5,True,True,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,6.214608098422191,6,functional needs repair
34.87,-4.47,Internal,Singida,D2,True,True,nira/tanira,vwc,never pay,soft,insufficient,shallow well,hand pump,5.703782474656201,23,functional
38.39,-6.33,Wami / Ruvu,Pwani,D1,True,True,ksb,wua,pay per bucket,soft,enough,river,communal standpipe,3.6888794541139363,7,functional
31.82,-3.34,Lake Tanganyika,Shinyanga,D5,True,True,swn 80,wug,unknown,soft,enough,shallow well,hand pump,6.214608098422191,6,functional
39.03,-10.08,Ruvuma / Southern Coast,Lindi,D53,False,False,other,vwc,unknown,salty,dry,shallow well,other,5.393627546352362,33,non functional
38.37,-4.73,Pangani,Tanga,D1,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.19295685089021,22,functional
33.31,-3.8,Internal,Shinyanga,D3,True,True,nira/tanira,wug,never pay,soft,seasonal,shallow well,hand pump,6.214608098422191,6,non functional
34.69,-9.14,Rufiji,Iringa,D4,True,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,6.396929655216146,37,functional
36.33,-8.16,Rufiji,Morogoro,D3,True,True,swn 80,unknown,pay monthly,soft,enough,shallow well,hand pump,6.553933404025811,9,functional
36.51,-8.54,Rufiji,Morogoro,D4,True,True,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,6.327936783729195,8,functional
33.99,-3.56,Internal,Shinyanga,D2,True,False,nira/tanira,wug,other,salty abandoned,enough,shallow well,hand pump,6.214608098422191,6,functional
34.24,-1.62,Lake Victoria,Mara,D3,True,False,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,hand pump,6.466144724237619,9,functional
34.69,-9.8,Lake Nyasa,Iringa,D5,True,False,gravity,vwc,never pay,soft,dry,river,communal standpipe,6.71295620067707,3,non functional
37.08,-6.95,Wami / Ruvu,Morogoro,D1,True,True,swn 80,vwc,pay monthly,salty,insufficient,shallow well,hand pump,5.438079308923196,14,functional
37.65,-3.67,Pangani,Kilimanjaro,D2,True,False,gravity,water board,never pay,soft,insufficient,river,communal standpipe,4.0943445622221,40,functional
39.02,-5.39,Pangani,Tanga,D5,False,False,swn 80,private operator,never pay,salty,enough,hand dtw,hand pump,4.382026634673881,16,non functional
39.43,-10.99,Ruvuma / Southern Coast,Mtwara,D33,True,False,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,5.703782474656201,2,functional
33.93,-9.45,Lake Nyasa,Mbeya,D3,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.778416335036015,38,functional
34.88,-8.14,Rufiji,Mbeya,D7,True,True,gravity,wua,never pay,soft,seasonal,river,communal standpipe,5.594862331542801,8,non functional
35.87,-3.35,Internal,Arusha,D1,False,True,gravity,wua,never pay,soft,enough,spring,communal standpipe,5.225746673713202,13,non functional
34.5,-9.24,Rufiji,Iringa,D4,True,True,gravity,vwc,pay when scheme fails,soft,enough,spring,communal standpipe multiple,3.2188758248682006,7,functional
32.75394444444444,-3.719277777777778,Lake Victoria,Mwanza,D6,True,True,india mark ii,vwc,pay monthly,soft,insufficient,machine dbh,hand pump,6.194405391104672,15,functional
34.79,-8.96,Rufiji,Iringa,D4,True,False,gravity,water board,pay when scheme fails,soft,enough,spring,communal standpipe,3.4011973816621555,3,functional
35.64,-4.8,Internal,Dodoma,D1,True,False,cemo,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe,5.778840172736036,5,non functional
34.52,-9.14,Rufiji,Iringa,D4,True,True,gravity,wua,pay annually,soft,enough,river,communal standpipe,4.04305126783455,18,functional
29.72,-4.78,Lake Tanganyika,Kigoma,D3,True,True,gravity,vwc,pay monthly,soft,enough,river,communal standpipe multiple,5.991464547107982,5,functional
36.87,-11.32,Ruvuma / Southern Coast,Ruvuma,D1,True,False,swn 80,vwc,pay annually,soft,enough,machine dbh,hand pump,5.298317366548036,17,functional
30.67,-3.47,Lake Tanganyika,Kigoma,D1,True,False,gravity,vwc,unknown,soft,enough,spring,improved spring,7.600902459542082,9,functional
36.71,-3.36,Pangani,Arusha,D2,True,True,gravity,private operator,pay annually,soft,enough,spring,communal standpipe,5.298317366548036,13,functional
32.75,-5.68,Lake Tanganyika,Tabora,D5,True,True,other,vwc,never pay,soft,dry,shallow well,hand pump,5.737381174257634,12,non functional
36.76,-3.4,Pangani,Arusha,D2,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.0106352940962555,2,functional
30.62,-2.78,Lake Victoria,Kagera,D30,True,False,gravity,wug,never pay,soft,enough,spring,communal standpipe,6.020025972800595,5,functional needs repair
31.07,-7.09,Lake Rukwa,Rukwa,D1,True,True,gravity,vwc,pay annually,soft,enough,spring,improved spring,6.214608098422191,5,functional
35.85,-3.35,Internal,Arusha,D1,True,True,gravity,wua,never pay,soft,enough,spring,communal standpipe,5.225746673713202,13,non functional
33.91,-9.63,Lake Nyasa,Mbeya,D3,True,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,5.778416335036015,38,non functional
33.01,-8.46,Lake Rukwa,Mbeya,D1,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.778840172736036,4,functional needs repair
33.52,-3.43,Internal,Shinyanga,D8,True,True,nira/tanira,wua,unknown,unknown,unknown,machine dbh,communal standpipe,6.214608098422191,6,non functional
37.95,-4.4,Pangani,Kilimanjaro,D3,False,True,gravity,vwc,never pay,soft,insufficient,other,communal standpipe multiple,5.908082938168931,1,functional
36.15,-5.22,Wami / Ruvu,Dodoma,D1,True,False,mono,vwc,never pay,soft,enough,machine dbh,communal standpipe,5.778840172736036,5,non functional
35.0,-4.62,Internal,Singida,D2,True,True,submersible,vwc,unknown,unknown,dry,machine dbh,communal standpipe,5.552959584921617,13,functional needs repair
34.56,-9.19,Rufiji,Iringa,D4,True,True,gravity,wua,pay annually,soft,enough,river,communal standpipe,4.02535169073515,2,functional
32.43,-3.79,Lake Tanganyika,Shinyanga,D3,True,False,nira/tanira,unknown,unknown,unknown,unknown,shallow well,hand pump,6.214608098422191,7,functional
34.04115942028986,-4.5371014492753625,Lake Tanganyika,Mwanza,D6,True,True,nira/tanira,vwc,pay monthly,soft,insufficient,shallow well,hand pump,6.194405391104672,15,functional
32.33,-3.43,Lake Tanganyika,Shinyanga,D3,True,True,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,6.214608098422191,7,functional
33.97,-9.49,Lake Nyasa,Mbeya,D3,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,5.778416335036015,38,functional
33.98,-9.48,Lake Nyasa,Mbeya,D3,True,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,5.778416335036015,38,non functional
38.75,-7.99,Rufiji,Pwani,D53,False,True,mono,private operator,pay per bucket,soft,enough,machine dbh,communal standpipe,4.787491742782046,3,functional
36.68,-8.32,Rufiji,Morogoro,D3,True,True,gravity,vwc,never pay,soft,dry,river,communal standpipe,5.438079308923196,37,non functional
36.16,-10.38,Rufiji,Ruvuma,D5,True,False,gravity,wug,pay monthly,soft,insufficient,shallow well,hand pump,6.040254711277414,6,functional
31.26,-7.59,Lake Rukwa,Rukwa,D3,False,False,gravity,vwc,never pay,soft,enough,river,communal standpipe,6.396929655216146,25,functional
35.0,-5.0,Internal,Singida,D2,True,True,india mark ii,vwc,never pay,soft,insufficient,machine dbh,hand pump,5.703782474656201,3,functional
30.68,-1.27,Lake Victoria,Kagera,D1,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.778840172736036,7,functional needs repair
31.38,-1.21,Lake Victoria,Kagera,D7,True,True,swn 80,vwc,pay monthly,soft,insufficient,shallow well,hand pump,5.594862331542801,8,functional needs repair
38.01,-4.35,Pangani,Kilimanjaro,D3,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,6.040254711277414,4,functional
39.75,-10.11,Ruvuma / Southern Coast,Lindi,D23,False,False,ksb,vwc,never pay,soft,enough,spring,communal standpipe multiple,5.842094090453713,34,non functional
36.11,-7.54,Rufiji,Iringa,D7,True,True,gravity,vwc,pay annually,soft,enough,river,communal standpipe,5.0106352940962555,27,functional
30.91,-1.54,Lake Victoria,Kagera,D1,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.778840172736036,7,functional
34.45,-8.67,Rufiji,Mbeya,D7,True,False,swn 80,vwc,never pay,soft,seasonal,machine dbh,hand pump,5.594862331542801,8,functional
33.03,-2.11,Lake Victoria,Mwanza,D1,True,True,nira/tanira,vwc,never pay,soft,insufficient,shallow well,hand pump,6.214608098422191,17,functional needs repair
37.78,-5.97,Wami / Ruvu,Morogoro,D6,True,True,other,vwc,never pay,coloured,insufficient,shallow well,other,3.1354942159291497,31,non functional
31.66,-1.16,Lake Victoria,Kagera,D30,True,False,gravity,wug,pay per bucket,soft,enough,spring,communal standpipe,6.020025972800595,5,functional
32.665,-8.625,Lake Victoria,Shinyanga,D1,True,False,swn 80,wug,unknown,soft,enough,shallow well,hand pump,6.214608098422191,7,functional
33.31,-8.98,Lake Rukwa,Mbeya,D2,True,True,gravity,wug,pay when scheme fails,soft,enough,river,communal standpipe,5.913279930309456,11,functional
36.66,-3.35,Pangani,Arusha,D2,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.298317366548036,4,functional
35.35,-9.89,Lake Nyasa,Ruvuma,D2,True,True,gravity,vwc,pay annually,soft,enough,river,communal standpipe,5.298317366548036,39,functional
34.814923195084475,-5.809080901177676,Lake Victoria,Shinyanga,D1,True,False,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,6.214608098422191,7,functional
34.34,-9.34,Lake Nyasa,Iringa,D3,True,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,4.248495242049359,9,functional
36.42,-6.22,Wami / Ruvu,Dodoma,D3,True,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.778416335036015,37,functional
37.25,-3.34,Pangani,Kilimanjaro,D5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,3.912023005428146,14,functional
35.79,-4.56,Internal,Dodoma,D1,True,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.778840172736036,5,functional
36.4,-8.15,Rufiji,Morogoro,D3,True,True,gravity,vwc,pay per bucket,soft,insufficient,river,communal standpipe,5.521460917862246,32,non functional
36.19,-10.45,Rufiji,Ruvuma,D5,True,False,swn 80,wug,pay monthly,soft,insufficient,shallow well,hand pump,7.090076835776092,10,functional
37.63,-3.3,Pangani,Kilimanjaro,D1,True,True,gravity,company,pay monthly,soft,insufficient,spring,communal standpipe,4.382026634673881,9,non functional
38.24,-7.77,Rufiji,Pwani,D53,True,True,mono,vwc,pay per bucket,soft,insufficient,machine dbh,communal standpipe multiple,4.787491742782046,1,functional
37.62,-3.15,Pangani,Kilimanjaro,D1,True,True,gravity,company,never pay,soft,enough,spring,communal standpipe,4.382026634673881,39,non functional
35.93,-5.95,Wami / Ruvu,Dodoma,D5,True,False,mono,vwc,pay per bucket,soft,dry,machine dbh,communal standpipe multiple,5.737381174257634,11,non functional
37.19,-3.24,Pangani,Kilimanjaro,D5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,5.0106352940962555,14,non functional
32.85,-8.96,Lake Rukwa,Mbeya,D6,False,False,swn 80,vwc,never pay,soft,enough,machine dbh,hand pump,5.972692541927154,17,non functional
37.49,-3.27,Pangani,Kilimanjaro,D4,False,True,gravity,vwc,never pay,soft,enough,spring,other,4.382026634673881,41,non functional
37.5,-3.27,Pangani,Kilimanjaro,D4,False,True,gravity,vwc,never pay,soft,enough,spring,other,4.382026634673881,41,non functional
39.44,-6.88,Wami / Ruvu,Dar es Salaam,D3,True,False,mono,vwc,never pay,salty,enough,machine dbh,communal standpipe,5.075173815233827,3,functional
33.68,-3.06,Lake Victoria,Shinyanga,D2,True,False,gravity,wug,never pay,soft,insufficient,rainwater harvesting,communal standpipe,6.214608098422191,6,non functional
34.62,-8.96,Rufiji,Iringa,D4,True,True,gravity,wua,pay monthly,soft,enough,river,communal standpipe,4.31748811353631,8,functional
34.97,-10.95,Lake Nyasa,Ruvuma,D3,True,True,gravity,vwc,unknown,soft,insufficient,spring,communal standpipe,4.0943445622221,20,functional needs repair
36.41,-8.67,Rufiji,Morogoro,D4,True,True,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,5.438079308923196,8,non functional
35.71,-10.78,Ruvuma / Southern Coast,Ruvuma,D2,True,True,gravity,vwc,pay annually,soft,enough,river,communal standpipe,5.298317366548036,13,functional
36.72,-8.75,Rufiji,Morogoro,D4,True,True,gravity,wug,pay monthly,soft,enough,spring,communal standpipe,4.700480365792417,16,functional
38.78,-5.06,Pangani,Tanga,D3,True,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,5.19295685089021,12,functional
39.63,-10.53,Ruvuma / Southern Coast,Lindi,D23,False,False,other,vwc,never pay,soft,dry,machine dbh,hand pump,7.76004068088038,3,non functional
31.21,-8.48,Lake Tanganyika,Rukwa,D2,True,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,5.703782474656201,39,functional
33.11,-2.1,Lake Victoria,Mwanza,D1,True,True,nira/tanira,vwc,never pay,soft,insufficient,shallow well,hand pump,5.521460917862246,15,functional
33.95,-3.44,Internal,Shinyanga,D2,True,False,nira/tanira,wug,other,soft,enough,shallow well,hand pump,6.214608098422191,6,non functional
33.81,-9.3,Lake Nyasa,Mbeya,D4,True,True,gravity,vwc,unknown,soft,enough,spring,communal standpipe,5.4957391006863725,5,functional
36.73,-8.88,Rufiji,Morogoro,D4,True,True,gravity,wua,pay monthly,soft,insufficient,river,communal standpipe,5.634789603169249,11,non functional
34.0,-9.45,Lake Nyasa,Mbeya,D3,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.778416335036015,38,functional
31.13,-6.27,Lake Rukwa,Rukwa,D1,True,True,other,vwc,pay annually,soft,enough,hand dtw,other,3.6888794541139363,17,non functional
33.95,-9.48,Lake Nyasa,Mbeya,D3,True,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,5.778416335036015,38,non functional
37.77,-5.96,Wami / Ruvu,Morogoro,D6,True,True,other,vwc,never pay,salty,dry,shallow well,other,3.970291913552122,16,non functional
38.12,-6.77,Wami / Ruvu,Morogoro,D2,True,True,submersible,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe,5.298317366548036,1,functional
