id,longitude,latitude,basin,region,district_code,public_meeting,permit,extraction_type,management,payment,water_quality,quantity,source,waterpoint_type,pop_log,age
37350,36.29,-5.24,Internal,Manyara,DD5,True,False,gravity,vwc,never pay,soft,seasonal,rainwater harvesting,communal standpipe,6.756932389247553,11
65738,35.61,-3.35,Internal,Arusha,DD30,True,True,gravity,vwc,pay per bucket,soft,enough,river,communal standpipe,5.298317366548036,11
3271,32.86,-3.93,Internal,Tabora,DD1,False,True,mono,vwc,never pay,soft,enough,machine dbh,communal standpipe,4.605170185988092,13
42658,33.12,-4.86,Lake Tanganyika,Tabora,DD3,True,True,afridev,vwc,never pay,soft,seasonal,shallow well,hand pump,4.382026634673881,17
67523,35.67,-3.35,Internal,Arusha,DD30,True,True,gravity,vwc,pay per bucket,coloured,enough,river,communal standpipe multiple,5.703782474656201,15
37034,34.72,-8.86,Rufiji,Iringa,DD4,True,True,gravity,wua,pay monthly,soft,enough,river,communal standpipe,5.886104031450156,33
42432,34.71,-9.14,Rufiji,Iringa,DD4,True,True,gravity,wua,pay monthly,soft,enough,river,communal standpipe,3.8066624897703196,33
27420,38.84,-4.78,Pangani,Tanga,DD8,True,True,gravity,vwc,never pay,coloured,insufficient,spring,communal standpipe,5.298317366548036,40
707,37.66,-3.72,Pangani,Kilimanjaro,DD2,True,False,gravity,wua,pay monthly,soft,enough,spring,communal standpipe,3.8066624897703196,41
48489,37.48,-6.28,Wami / Ruvu,Morogoro,DD6,True,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,4.174387269895637,27
51008,33.33,-8.88,Lake Rukwa,Mbeya,DD2,True,False,gravity,wug,pay when scheme fails,soft,dry,river,communal standpipe,5.940171252720432,11
72562,40.04,-10.49,Ruvuma / Southern Coast,Mtwara,DD1,True,True,submersible,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,5.991464547107982,7
10275,38.72,-5.17,Pangani,Tanga,DD3,True,False,india mark ii,vwc,never pay,soft,insufficient,shallow well,hand pump,4.787491742782046,28
53540,33.14,-3.72,Lake Victoria,Shinyanga,DD3,True,True,other,vwc,never pay,soft,enough,machine dbh,communal standpipe multiple,4.174387269895637,17
43291,33.33,-2.7,Lake Victoria,Mwanza,DD4,True,True,swn 80,vwc,never pay,unknown,dry,shallow well,hand pump,5.598421958998375,6
8813,33.13,-3.23,Lake Victoria,Mwanza,DD4,True,True,submersible,vwc,pay per bucket,soft,enough,lake,communal standpipe multiple,5.298317366548036,6
62343,33.63,-8.86,Rufiji,Mbeya,DD2,True,True,gravity,wug,pay when scheme fails,soft,dry,river,communal standpipe,6.214608098422191,11
1649,32.36,-4.97,Lake Tanganyika,Tabora,DD3,True,True,india mark ii,vwc,pay when scheme fails,soft,enough,machine dbh,hand pump,5.703782474656201,17
8822,37.71,-4.01,Pangani,Kilimanjaro,DD3,True,True,submersible,vwc,pay per bucket,salty,insufficient,machine dbh,communal standpipe,5.19295685089021,6
10352,33.66,-8.98,Rufiji,Mbeya,DD2,False,False,gravity,wug,pay when scheme fails,soft,enough,river,communal standpipe,4.174387269895637,11
50878,33.78,-3.06,Lake Victoria,Shinyanga,DD2,True,False,gravity,private operator,pay monthly,soft,enough,dam,communal standpipe,4.174387269895637,12
15266,33.59,-9.17,Lake Nyasa,Mbeya,DD4,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,4.382026634673881,5
51956,38.42,-4.63,Pangani,Tanga,DD1,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.521460917862246,37
44099,37.12,-10.79,Ruvuma / Southern Coast,Ruvuma,DD1,True,False,swn 80,vwc,pay monthly,soft,insufficient,machine dbh,hand pump,5.521460917862246,21
59,33.59,-3.72,Internal,Shinyanga,DD8,True,True,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe multiple,5.991464547107982,9
51359,39.56,-9.13,Ruvuma / Southern Coast,Lindi,DD13,True,False,submersible,vwc,unknown,soft,unknown,machine dbh,communal standpipe multiple,6.272877006546167,11
15962,37.35,-6.01,Lake Victoria,Mwanza,DD6,True,True,other,vwc,unknown,unknown,dry,machine dbh,other,4.382026634673881,17
17853,33.06,-1.83,Lake Victoria,Mwanza,DD1,True,True,gravity,vwc,never pay,soft,insufficient,spring,improved spring,7.090076835776092,12
42040,37.55,-3.29,Pangani,Kilimanjaro,DD4,True,True,gravity,wua,never pay,soft,insufficient,spring,communal standpipe,5.298317366548036,43
72243,35.99,-10.53,Rufiji,Ruvuma,DD5,True,False,swn 80,wug,pay when scheme fails,soft,enough,shallow well,hand pump,5.521460917862246,23
63653,36.62,-3.29,Pangani,Arusha,DD2,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.298317366548036,9
26510,33.78,-3.33,Internal,Shinyanga,DD2,True,False,nira/tanira,wug,other,soft,enough,shallow well,hand pump,5.298317366548036,12
72053,30.5,-2.59,Lake Victoria,Kagera,DD30,True,False,gravity,vwc,never pay,soft,insufficient,spring,other,5.298317366548036,9
29351,34.25,-1.2,Lake Victoria,Mara,DD6,True,True,afridev,vwc,pay monthly,soft,enough,shallow well,hand pump,6.327936783729195,1
51897,34.86,-4.97,Internal,Singida,DD2,True,True,other,vwc,unknown,unknown,dry,shallow well,other,5.298317366548036,23
20376,35.11,-8.19,Rufiji,Iringa,DD2,True,True,swn 80,vwc,pay annually,soft,enough,hand dtw,hand pump,5.598421958998375,11
26804,36.5,-8.55,Rufiji,Morogoro,DD4,True,True,nira/tanira,vwc,pay monthly,soft,enough,shallow well,hand pump,5.438079308923196,1
67303,36.8,-3.45,Pangani,Arusha,DD2,True,True,gravity,vwc,never pay,soft,enough,spring,other,5.0106352940962555,25
69780,37.63,-3.13,Pangani,Kilimanjaro,DD1,True,True,gravity,company,pay monthly,soft,insufficient,spring,communal standpipe,5.298317366548036,51
45374,34.76,-2.9,Lake Victoria,Mwanza,DD1,True,False,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,4.174387269895637,10
54665,37.23,-3.18,Pangani,Kilimanjaro,DD5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,5.940171252720432,5
39341,30.13,-4.25,Lake Tanganyika,Kigoma,DD2,True,False,ksb,vwc,other,soft,enough,machine dbh,communal standpipe multiple,6.856461984594587,35
8869,37.46,-11.21,Ruvuma / Southern Coast,Ruvuma,DD1,True,False,gravity,vwc,pay monthly,soft,enough,river,communal standpipe,5.0106352940962555,27
20691,33.17,-8.94,Lake Rukwa,Mbeya,DD6,True,False,nira/tanira,vwc,pay when scheme fails,soft,insufficient,shallow well,hand pump,5.0106352940962555,17
19693,35.53,-4.48,Internal,Manyara,DD2,True,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,5.3981627015177525,5
14321,32.0,-8.8,Lake Rukwa,Rukwa,DD2,True,False,india mark ii,vwc,never pay,soft,enough,machine dbh,hand pump,3.912023005428146,26
63059,33.52,-3.14,Lake Victoria,Shinyanga,DD2,True,False,gravity,wug,pay per bucket,soft,insufficient,machine dbh,communal standpipe multiple,5.991464547107982,13
67403,39.06,-5.29,Pangani,Tanga,DD3,True,False,gravity,vwc,never pay,soft,insufficient,machine dbh,communal standpipe multiple,3.2188758248682006,2
28912,37.23,-3.27,Pangani,Kilimanjaro,DD5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,4.8283137373023015,5
12549,35.57,-6.34,Internal,Dodoma,DD6,True,True,mono,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe,5.298317366548036,11
24328,37.59,-3.73,Pangani,Kilimanjaro,DD2,True,True,gravity,water board,pay monthly,soft,insufficient,spring,other,4.382026634673881,41
13750,32.04,-4.99,Lake Tanganyika,Tabora,DD4,True,True,afridev,vwc,never pay,soft,enough,shallow well,hand pump,4.174387269895637,7
1574,38.47,-4.86,Pangani,Tanga,DD1,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.438079308923196,42
44149,31.37,-1.06,Lake Victoria,Kagera,DD7,True,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,5.298317366548036,5
53917,31.13,-1.69,Lake Victoria,Kagera,DD1,True,True,gravity,vwc,pay annually,soft,enough,spring,communal standpipe,6.214608098422191,12
22705,36.88,-3.31,Pangani,Arusha,DD7,True,True,gravity,vwc,unknown,soft,insufficient,spring,communal standpipe,4.584967478670572,6
66465,32.05,-3.41,Lake Tanganyika,Shinyanga,DD5,True,True,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,communal standpipe,5.991464547107982,13
15644,31.83,-1.11,Lake Victoria,Kagera,DD2,True,True,gravity,vwc,never pay,soft,insufficient,rainwater harvesting,communal standpipe,4.174387269895637,11
20773,35.82,-5.3,Internal,Dodoma,DD1,True,False,mono,vwc,never pay,soft,enough,machine dbh,communal standpipe,5.521460917862246,12
33092,36.96,-7.6,Rufiji,Morogoro,DD1,True,True,gravity,other,never pay,soft,enough,spring,communal standpipe,5.703782474656201,0
54392,37.48,-3.82,Pangani,Kilimanjaro,DD2,True,False,climax,private operator,pay annually,unknown,enough,dam,communal standpipe,5.768320995793772,1
37850,38.91,-6.74,Wami / Ruvu,Pwani,DD2,True,True,mono,vwc,pay per bucket,soft,enough,river,communal standpipe multiple,5.940171252720432,1
5576,35.77,-8.03,Rufiji,Iringa,DD7,True,True,swn 80,vwc,never pay,soft,enough,machine dbh,hand pump,5.780743515792329,3
60840,35.87,-4.14,Internal,Manyara,DD1,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,4.276666119016055,15
9971,31.24,-6.38,Lake Rukwa,Rukwa,DD1,False,True,gravity,water authority,never pay,soft,enough,spring,communal standpipe,4.248495242049359,39
57508,36.64,-6.82,Wami / Ruvu,Morogoro,DD1,True,True,nira/tanira,vwc,pay when scheme fails,soft,insufficient,shallow well,hand pump,5.857933154483459,15
25872,33.0,-4.19,Internal,Tabora,DD1,False,False,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,5.940171252720432,13
43978,33.99,-8.99,Rufiji,Iringa,DD3,True,False,gravity,vwc,pay when scheme fails,soft,enough,spring,communal standpipe,5.940171252720432,37
38181,33.92,-9.19,Lake Nyasa,Iringa,DD3,True,False,gravity,vwc,pay when scheme fails,soft,enough,spring,communal standpipe,5.991464547107982,25
24325,37.62,-6.13,Wami / Ruvu,Morogoro,DD6,True,True,other,vwc,never pay,soft,enough,shallow well,hand pump,2.995732273553991,5
2724,31.53,-1.52,Lake Victoria,Kagera,DD2,True,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,6.214608098422191,11
34794,31.14,-6.61,Lake Rukwa,Rukwa,DD1,False,True,gravity,water authority,never pay,soft,enough,spring,communal standpipe,3.912023005428146,33
56525,32.77,-3.9,Internal,Shinyanga,DD3,True,True,gravity,vwc,pay per bucket,soft,enough,spring,communal standpipe multiple,5.598421958998375,17
63155,31.61,-1.77,Lake Victoria,Kagera,DD3,True,True,ksb,vwc,never pay,soft,enough,spring,communal standpipe,5.940171252720432,25
67247,37.58,-7.09,Wami / Ruvu,Morogoro,DD6,True,True,gravity,vwc,pay per bucket,soft,enough,river,communal standpipe,4.0943445622221,7
23387,38.91,-8.79,Ruvuma / Southern Coast,Lindi,DD13,True,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,5.966146739123692,2
17873,32.31,-3.51,Lake Tanganyika,Shinyanga,DD5,True,False,other,unknown,unknown,unknown,unknown,unknown,hand pump,4.382026634673881,13
18197,34.98,-8.83,Rufiji,Iringa,DD4,True,False,nira/tanira,vwc,never pay,soft,enough,hand dtw,hand pump,3.6888794541139363,2
24834,30.03,-4.43,Lake Tanganyika,Kigoma,DD2,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,6.476972362889683,14
4091,38.24,-4.46,Pangani,Tanga,DD1,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,4.174387269895637,40
33261,33.81,-9.27,Lake Nyasa,Mbeya,DD4,True,True,gravity,vwc,unknown,soft,unknown,spring,communal standpipe,4.718498871295094,5
44384,35.02,-4.18,Internal,Manyara,DD3,True,True,submersible,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe,5.2574953720277815,19
62096,32.95,-4.99,Lake Tanganyika,Tabora,DD6,False,True,other,vwc,never pay,soft,dry,shallow well,other,5.298317366548036,30
64554,39.08,-7.0,Wami / Ruvu,Dar es Salaam,DD2,True,False,submersible,private operator,pay per bucket,soft,enough,hand dtw,communal standpipe,5.521460917862246,3
68314,35.57,-7.94,Rufiji,Iringa,DD1,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,5.598421958998375,29
53,36.67,-3.36,Pangani,Arusha,DD2,True,True,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe,5.298317366548036,13
23426,33.91,-9.35,Lake Nyasa,Mbeya,DD4,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.0106352940962555,5
38259,31.64,-8.11,Lake Tanganyika,Rukwa,DD4,True,True,gravity,vwc,never pay,soft,dry,river,communal standpipe,5.438079308923196,29
16631,36.01,-10.73,Ruvuma / Southern Coast,Ruvuma,DD5,True,False,swn 80,wug,pay monthly,soft,insufficient,shallow well,hand pump,5.298317366548036,15
43162,34.86,-4.97,Internal,Singida,DD2,True,True,submersible,company,never pay,soft,insufficient,machine dbh,communal standpipe,3.2188758248682006,13
44492,31.45,-1.45,Lake Victoria,Kagera,DD2,True,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,5.4638318050256105,11
38884,33.67,-3.66,Internal,Shinyanga,DD8,False,False,gravity,vwc,unknown,soft,insufficient,river,communal standpipe multiple,4.174387269895637,9
13690,37.75,-6.92,Wami / Ruvu,Morogoro,DD2,True,True,gravity,vwc,pay monthly,soft,enough,river,communal standpipe,5.521460917862246,7
60335,37.48,-3.27,Pangani,Kilimanjaro,DD4,True,True,gravity,other,never pay,soft,enough,river,communal standpipe,4.248495242049359,41
31856,32.12,-4.21,Lake Tanganyika,Shinyanga,DD3,True,True,nira/tanira,wug,unknown,soft,insufficient,shallow well,hand pump,5.298317366548036,17
67891,38.36,-6.64,Wami / Ruvu,Pwani,DD1,True,True,ksb,wua,pay per bucket,soft,enough,river,communal standpipe,5.0106352940962555,1
25564,34.67,-10.45,Lake Nyasa,Iringa,DD5,True,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,4.0943445622221,27
55293,34.24,-9.38,Lake Nyasa,Iringa,DD3,True,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.598421958998375,27
31866,37.27,-3.28,Pangani,Kilimanjaro,DD4,True,True,gravity,water board,pay per bucket,soft,enough,river,communal standpipe,2.995732273553991,6
71178,32.89,-8.98,Lake Rukwa,Mbeya,DD6,True,False,nira/tanira,vwc,pay when scheme fails,soft,enough,shallow well,hand pump,6.214608098422191,17
60279,34.74,-9.4,Rufiji,Iringa,DD4,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,4.382026634673881,9
28615,34.99,-10.94,Lake Nyasa,Ruvuma,DD3,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,5.560681631015528,11
8744,34.21,-9.45,Lake Nyasa,Iringa,DD3,True,False,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,5.298317366548036,9
48308,32.76,-3.94,Lake Tanganyika,Shinyanga,DD3,True,True,gravity,vwc,pay per bucket,soft,enough,spring,communal standpipe multiple,5.0106352940962555,17
49626,33.86,-1.98,Lake Victoria,Mara,DD4,True,True,gravity,wua,unknown,soft,dry,lake,communal standpipe multiple,5.298317366548036,40
38098,36.9,-3.11,Internal,Arusha,DD7,True,True,gravity,wua,unknown,soft,insufficient,spring,communal standpipe,5.521460917862246,3
30309,34.07,-2.99,Lake Victoria,Shinyanga,DD1,True,False,nira/tanira,wug,never pay,soft,enough,shallow well,hand pump,5.521460917862246,15
8015,32.92,-2.47,Lake Victoria,Mwanza,DD8,True,True,nira/tanira,private operator,never pay,salty,enough,shallow well,hand pump,5.991464547107982,8
3496,37.22,-6.52,Wami / Ruvu,Morogoro,DD1,True,True,submersible,vwc,never pay,salty,enough,machine dbh,communal standpipe,5.241747015059643,6
56971,38.48,-4.62,Pangani,Tanga,DD1,True,True,swn 80,vwc,never pay,salty,enough,shallow well,hand pump,4.718498871295094,1
68616,31.65,-6.5,Lake Victoria,Mwanza,DD6,True,True,india mark ii,vwc,never pay,soft,insufficient,machine dbh,hand pump,4.718498871295094,17
8646,35.76,-10.52,Lake Nyasa,Ruvuma,DD5,True,False,swn 80,wug,pay when scheme fails,soft,insufficient,shallow well,hand pump,5.19295685089021,30
74104,35.84,-6.77,Rufiji,Dodoma,DD4,True,True,mono,vwc,unknown,soft,insufficient,machine dbh,communal standpipe multiple,5.438079308923196,12
37501,39.24,-10.88,Ruvuma / Southern Coast,Mtwara,DD33,True,False,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe,6.745236349484363,17
33001,33.18,-4.2,Internal,Tabora,DD1,False,True,ksb,water authority,never pay,coloured,insufficient,dam,communal standpipe,5.438079308923196,13
69202,37.59,-3.22,Pangani,Kilimanjaro,DD1,True,True,gravity,company,pay monthly,soft,enough,spring,communal standpipe,5.438079308923196,13
68409,37.15,-3.33,Pangani,Kilimanjaro,DD5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,3.912023005428146,14
51847,36.16,-5.57,Wami / Ruvu,Dodoma,DD4,True,True,mono,vwc,unknown,soft,dry,machine dbh,communal standpipe multiple,5.521460917862246,12
55647,32.97,-3.73,Internal,Shinyanga,DD3,True,True,swn 80,wug,never pay,soft,dry,shallow well,hand pump,4.174387269895637,17
17923,33.09,-2.03,Lake Victoria,Mwanza,DD1,True,True,swn 80,vwc,never pay,coloured,seasonal,shallow well,hand pump,5.857933154483459,21
71743,38.86,-6.78,Wami / Ruvu,Pwani,DD2,True,True,mono,vwc,pay per bucket,soft,dry,river,other,4.605170185988092,25
51539,34.46,-4.18,Lake Victoria,Shinyanga,DD1,True,False,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,5.768320995793772,14
73819,35.75,-6.33,Rufiji,Dodoma,DD5,True,False,mono,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,5.0106352940962555,12
66881,32.93,-9.27,Lake Nyasa,Mbeya,DD6,True,False,nira/tanira,vwc,pay when scheme fails,soft,enough,shallow well,hand pump,5.0106352940962555,17
58768,29.89,-5.31,Lake Tanganyika,Kigoma,DD3,True,True,nira/tanira,vwc,unknown,soft,enough,shallow well,hand pump,5.703782474656201,14
2648,31.32,-2.66,Lake Tanganyika,Kagera,DD4,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.940171252720432,6
68933,34.85,-11.33,Lake Nyasa,Ruvuma,DD3,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,4.564348191467836,21
12427,30.36,-4.86,Lake Tanganyika,Kigoma,DD2,True,False,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,6.606650186198215,6
16633,32.73,-8.85,Lake Rukwa,Mbeya,DD6,False,False,other,vwc,never pay,soft,seasonal,shallow well,other,6.214608098422191,17
24123,35.77,-8.08,Rufiji,Iringa,DD7,True,True,india mark ii,vwc,never pay,soft,enough,machine dbh,hand pump,5.991464547107982,2
58551,35.95,-6.14,Wami / Ruvu,Dodoma,DD5,True,False,mono,vwc,pay per bucket,soft,dry,machine dbh,communal standpipe multiple,5.780743515792329,12
17132,38.95,-6.81,Wami / Ruvu,Pwani,DD2,True,True,mono,vwc,pay per bucket,soft,enough,river,communal standpipe multiple,4.174387269895637,4
3027,30.87,-3.38,Lake Tanganyika,Kigoma,DD1,True,False,submersible,vwc,unknown,soft,insufficient,machine dbh,communal standpipe,5.521460917862246,3
2651,34.71,-5.19,Internal,Singida,DD2,True,True,mono,vwc,unknown,unknown,dry,machine dbh,communal standpipe,4.174387269895637,53
25998,39.67,-10.86,Ruvuma / Southern Coast,Mtwara,DD4,True,True,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe multiple,5.703782474656201,31
63400,36.99,-3.25,Pangani,Arusha,DD7,True,False,gravity,wua,unknown,soft,insufficient,rainwater harvesting,communal standpipe multiple,6.214608098422191,2
50028,36.0,-6.22,Wami / Ruvu,Dodoma,DD5,True,False,mono,vwc,pay monthly,soft,dry,machine dbh,communal standpipe,5.598421958998375,12
67897,36.93,-3.57,Pangani,Manyara,DD4,True,True,nira/tanira,wug,unknown,salty,insufficient,shallow well,hand pump,5.298317366548036,13
21425,33.24,-2.9,Lake Victoria,Mwanza,DD7,True,True,swn 80,vwc,never pay,unknown,unknown,machine dbh,hand pump,5.940171252720432,39
71756,33.24,-3.85,Internal,Shinyanga,DD3,True,False,nira/tanira,wug,never pay,soft,seasonal,shallow well,hand pump,6.214608098422191,17
16862,37.04,-3.2,Pangani,Kilimanjaro,DD7,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,5.703782474656201,4
15420,35.1,-9.19,Rufiji,Iringa,DD4,True,True,gravity,vwc,never pay,soft,dry,river,communal standpipe,3.4011973816621555,17
47784,31.81,-1.3,Lake Victoria,Kagera,DD6,True,False,gravity,vwc,never pay,soft,insufficient,rainwater harvesting,communal standpipe,5.521460917862246,17
712,38.37,-10.93,Ruvuma / Southern Coast,Mtwara,DD63,True,True,india mark ii,parastatal,pay per bucket,salty,enough,machine dbh,hand pump,5.0106352940962555,5
54368,33.38,-2.79,Lake Victoria,Mwanza,DD4,True,True,other,vwc,never pay,soft,seasonal,shallow well,other,5.438079308923196,6
2866,33.55,-9.22,Lake Nyasa,Mbeya,DD4,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.438079308923196,5
51130,34.17,-3.83,Internal,Shinyanga,DD6,True,True,gravity,parastatal,never pay,soft,seasonal,rainwater harvesting,communal standpipe,5.521460917862246,14
27993,35.28,-5.2,Internal,Dodoma,DD1,True,False,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,5.4638318050256105,12
21621,30.43,-4.28,Lake Tanganyika,Kigoma,DD2,True,False,mono,vwc,never pay,soft,enough,shallow well,communal standpipe multiple,6.380122536899765,38
66038,38.97,-5.38,Pangani,Tanga,DD5,False,False,submersible,private operator,pay per bucket,soft,seasonal,machine dbh,communal standpipe,2.772588722239781,4
42182,38.89,-6.52,Wami / Ruvu,Pwani,DD1,True,True,ksb,private operator,pay per bucket,soft,enough,river,communal standpipe,3.912023005428146,3
17694,39.98,-10.29,Ruvuma / Southern Coast,Mtwara,DD1,True,True,other,vwc,unknown,soft,enough,machine dbh,other,5.703782474656201,28
57759,35.88,-8.23,Rufiji,Iringa,DD7,True,True,gravity,vwc,pay annually,soft,enough,river,communal standpipe,4.382026634673881,8
47978,35.39,-7.65,Rufiji,Iringa,DD1,True,True,gravity,vwc,pay annually,soft,enough,spring,communal standpipe,5.298317366548036,19
52359,37.94,-4.58,Pangani,Kilimanjaro,DD3,True,True,india mark ii,vwc,pay monthly,salty,enough,machine dbh,hand pump,6.4457198193855785,3
69656,35.59,-7.81,Rufiji,Iringa,DD1,True,True,gravity,vwc,pay monthly,soft,dry,spring,communal standpipe,5.3471075307174685,28
24086,32.94,-9.0,Lake Rukwa,Mbeya,DD6,True,False,swn 80,vwc,pay when scheme fails,soft,enough,shallow well,hand pump,4.174387269895637,17
